dat,artist,musicbrainz_url,title,album,label,year,country
2014.10.02,Sébastien Tellier,http://musicbrainz.org/artist/ac69016f-42cc-4322-b70e-101458b769aa,Aller vers le soleil ,L'Aventura,Record Makers,2014,France
2014.10.02,Sylvan Esso,http://musicbrainz.org/artist/c4593b34-2a94-4e44-ae10-4a0f4c0b4da8,Play It Right ,Sylvan Esso,Partisan Records,2014,USA
2014.10.02,The Lions,http://musicbrainz.org/artist/78211c3b-e44c-4033-b0d1-280d50208a70,Revelations,This Generation in Dub,Stones Throw Records,2014,USA / USA / USA
2014.10.02,Nightmares on Wax ,http://musicbrainz.org/artist/b8c5cc4f-239f-4e02-b46f-b040b77c2030,Aftermath,A Word of Science: The 1st & Final Chapter,Warp Records,1991,England
2014.10.02,Scraps,http://musicbrainz.org/artist/9febdd77-9388-4f3f-8c07-8ddf59aaac37,Lonely Motorbike,Electric Ocean,Fire Records,2014,Australia
2014.10.02,Bobby,http://musicbrainz.org/artist/977f2b40-0c44-4f57-a1d7-5e4b97ed868b,Kpei,Feli,?,?,Sierra Leone
2014.10.02,Röyksopp,http://musicbrainz.org/artist/1c70a3fc-fa3c-4be1-8b55-c3192db8a884,Skulls,The Inevitable End,Cherrytree Records / Wall of Sound,2014,Norway
2014.10.09,David Wise,http://musicbrainz.org/artist/ae29aae4-abfb-4609-8f54-417b1f4d64cc,DK Island Swing,Donkey Kong Country,Nintendo,1994,England
2014.10.09,David Wise,http://musicbrainz.org/artist/ae29aae4-abfb-4609-8f54-417b1f4d64cc,Aquatic Ambiance,Donkey Kong Country,Nintendo,1994,England
2014.10.09,Koji Kondo,http://musicbrainz.org/artist/c376498a-cdf6-422b-9055-3fce84424402,The Legend of Zelda ,Legend of Zelda / Nazo no Murasame,KING,1986,Japan
2014.10.09,Culomono,http://musicbrainz.org/artist/87f9d40f-fe39-4698-b721-0486ceb61a5e,Requiemforabit,Halloween Hats,[no label],2010,Spain) {[download the compilation](http://www.mediafire.com/download/ez6q244hjscjd49/Halloween+Hats+Comp.+2010.zip
2014.10.09,You Love Her Coz Sh,http://musicbrainz.org/artist/5b61183f-2dfd-4b08-aa7f-7b6c2b68d658,Superheroes,Inner City Angst EP,Kitsuné,2008,Britain
2014.10.09,Crystal Castles,http://musicbrainz.org/artist/b1570544-93ab-4b2b-8398-131735394202,Air War,Crystal Castles,Different Recordings/Last Gang Records,2008,Canada
2014.10.09,Kero Kero Bonito,http://musicbrainz.org/artist/5e284bdc-3774-41dc-b5e2-b125d0349acf,Sick Beat,Intro Bonito,Double Denim Records,2013,England
2014.10.09,Groundislava,http://musicbrainz.org/artist/2de5c744-20e7-4a4a-a5a0-f42ac8af229f,Very Basketball ,Book of Tech EP,[no label],2011,USA
irregular: needs manual input
irregular: needs manual input
2014.10.09,Hirokazu Tanaka,http://musicbrainz.org/artist/62bc7b78-0b20-4055-9791-9f051006b364,Type A,Tetris,Nintendo,1989,Japan
2014.10.23,SoulEye,http://musicbrainz.org/artist/573fd3e2-3f61-4329-a6c1-89e20620b0b9,Potential for Anything,PPPPPP,[no label],2010,Sweden
irregular: needs manual input
2014.10.23,seagaia,http://musicbrainz.org/artist/d420cd2d-647f-4d4c-8316-b606848e41ab,Anodyne,Anodyne Remix Album,[no label],2013,USA / USA
2014.10.23,Jim Guthrie,http://musicbrainz.org/artist/25869023-8509-4926-aefd-1f84c188cf3d,The Ballad of the Space Babies,Sword & Sworcery LP: The Ballad of the Space Babies,Dark Flute,2011,Canada
irregular: needs manual input
